DocID,publish_time,feed_code,source_url,headline_text,language
1979211,2018-08-24 00:02:00,w3-flagpole,https://flagpole.com/blogs/in-the-loop/posts/uga-is-confiscating-those-newfangled-scooters,UGA Is Confiscating Those Newfangled Scooters,en
1979212,2018-08-24 00:02:00,w3-theatlantic,https://www.theatlantic.com/science/archive/2018/08/mike-pence-nasa-faith-religion/568255/,Mike Pence's Outer-Space Gospel,en
1979213,2018-08-24 00:02:00,w3-qt-au,https://www.qt.com.au/news/it-happened-very-quickly-lucky-pup-survives-near-d/3501492/,'It happened very quickly': Lucky pup survives near drowning,en
1979214,2018-08-24 00:02:00,w3-vox,https://www.vox.com/mischiefs-of-faction/2018/8/23/17765414/women-of-color-democratic-party,Will young women of color shape the Democratic Party?,en
1979215,2018-08-24 00:02:00,w3-asianage,http://www.asianage.com/india/all-india/240818/arun-jaitley-back-as-finance-corp-affairs-minister.html,"Arun Jaitley back as finance, corp affairs minister",en
1979216,2018-08-24 00:02:00,w3-theringer,https://www.theringer.com/2018/8/23/17771432/donald-trump-tweets-news-michael-cohen,'This Changes Everything': The Definitive Guide to Trump News Tweets - The Ringer (blog),en
1979217,2018-08-24 00:03:00,w3-newslookup,https://money.cnn.com/2018/08/23/technology/facebook-twitter-syria-media-center/index.html,"Facebook removes Syrian war page it believes is linked to Russian intel, Twitter keeps it online",en
1979218,2018-08-24 00:03:00,w3-thehill,http://thehill.com/homenews/media/403336-china-denies-visa-to-veteran-buzzfeed-journalist,China denies visa to BuzzFeed journalist after critical coverage,en
1979219,2018-08-24 00:03:00,w3-informationng,http://www.informationng.com/2018/07/music-lord-of-ajasa-ft-reminisce-oladips-pantiewa.html,Comment on Music: Lord Of Ajasa ft. Reminisce & Oladips - Pantiewa by Bella,en
1979220,2018-08-24 00:03:00,w3-latimes,http://www.latimes.com/entertainment/movies/la-et-mn-memoir-of-war-review-20180823-story.html?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%253A%2Blatimes%252Fsports%252Fbaseball%252Fmlb%252Fdodgers%2B%2528Dodgers%2BNow%2529,"Review: In 'Memoir of War,' Mélanie Thierry captures Marguerite Duras' wait for a lover's return",en
1979221,2018-08-24 00:03:00,w3-latimes,http://www.latimes.com/entertainment/music/la-et-ms-blood-orange-negro-swan-review-20180823-story.html?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%253A%2Blatimes%252Fsports%252Fmotorracing%2B%2528L.A.%2BTimes%2B-%2BAuto%2BRacing%2529,Review: Devonté Hynes displays a radical sensitivity on Blood Orange's 'Negro Swan',en
1979222,2018-08-24 00:03:00,w3-metroland,https://www.simcoe.com/news-story/8798277-international-realtor-engel-and-volkers-comes-to-barrie/,International Realtor Engel and Volkers comes to Barrie,en
1979223,2018-08-24 00:03:00,w3-newindianexpress,http://www.newindianexpress.com/lifestyle/tech/2018/aug/24/an-interplanetary-message-using-vfx-1861838.html,An Interplanetary message using VFX,en
1979224,2018-08-24 00:03:00,w3-gulftoday-ae,http://gulftoday.ae/portal/7d9d73f8-fcfb-4639-94a4-7e8f5890b2d6.aspx,EU unlikely to heed UK call for more Russia curbs,en
1979225,2018-08-24 00:03:00,w3-goal,http://www.goal.com/en-gb/news/vidal-aims-var-swipe-at-two-of-real-madrids-champions-league/l0aeg9rwggas15w4n3f08apz7,Vidal aims VAR swipe at two of Real Madrid's Champions League crowns,en
1979226,2018-08-24 00:03:00,w3-finance-yahoo,https://finance.yahoo.com/news/3-hot-sectors-know-182206373.html?.tsrc=rss,There are 3 HOT Sectors to Know About!,en
1979227,2018-08-24 00:03:00,w3-english-alarabiya,http://english.alarabiya.net/en/sports/2018/08/24/Serena-Williams-handed-tough-path-to-US-Open-final.html,Serena Williams handed tough path to US Open final,en
1979228,2018-08-24 00:03:00,w3-dailypost-uk,https://www.dailypost.co.uk/news/north-wales-news/cyclist-airlifted-hospital-after-crashing-15066820,Cyclist airlifted to hospital after crashing into wall,en
1979229,2018-08-24 00:03:00,w3-dailyadvance,http://www.dailyadvance.com/National-Sports/2018/08/23/Vincent-Testaverde-starting-QB-for-Albany-Great-Danes.html,Vincent Testaverde starting QB for Albany Great Danes,en
1979230,2018-08-24 00:03:00,w3-comingsoon,http://www.comingsoon.net/tv/news/971759-rick-and-morty-gets-a-stylized-teaser,Rick and Morty Gets A Stylized Teaser That Turns Them Into Superheroes,en
1979231,2018-08-24 00:03:00,w3-clearwatertimes,https://www.clearwatertimes.com/news/maxime-bernier-tears-strip-off-conservatives-scheer-as-he-quits-federal-party/,"Maxime Bernier tears strip off Conservatives, Scheer as he quits federal party",en
1979232,2018-08-24 00:03:00,w3-aspenpublicradio-org,http://www.aspenpublicradio.org/post/isis-releases-purported-audio-recording-leader-al-baghdadi,ISIS Releases Purported Audio Recording Of Leader Al-Baghdadi,en
1979233,2018-08-24 00:03:00,w3-hawaiinewsnow,http://www.hawaiinewsnow.com/story/38947584/congressman-wife-plead-not-guilty-to-illegal-spending,"Congressman, wife plead not guilty to illegal spending",en
1979234,2018-08-24 00:03:00,w3-dailyadvance,http://www.dailyadvance.com/National-Sports/2018/08/23/Boyd-sharp-as-Tigers-rout-White-Sox-7-2.html,Boyd sharp as Tigers rout White Sox 7-2,en
1979235,2018-08-24 00:03:00,w3-tvfanatic,https://www.tvfanatic.com/2018/08/fanatic-feed-poppy-montgomery-returns-to-tv-bewitched-reboot-and/,"Fanatic Feed: Poppy Montgomery Returns to TV, Bewitched Reboot & More!",en
1979236,2018-08-24 00:03:00,w3-wkyufm-org,http://www.wkyufm.org/post/isis-releases-purported-audio-recording-leader-al-baghdadi,ISIS Releases Purported Audio Recording Of Leader Al-Baghdadi,en
1979237,2018-08-24 00:03:00,w3-wwd,https://wwd.com/fashion-news/fashion-scoops/gabourey-sidibe-to-keynote-fourth-annual-thecurvycon-1202777642/,Gabourey Sidibe to Keynote Fourth Annual TheCurvyCon,en
1979238,2018-08-24 00:04:00,w3-abbynews,https://www.abbynews.com/news/maxime-bernier-tears-strip-off-conservatives-scheer-as-he-quits-federal-party/,"Maxime Bernier tears strip off Conservatives, Scheer as he quits federal party",en
1979239,2018-08-24 00:04:00,w3-businessinsider-in,https://www.businessinsider.in/Giuliani-The-American-people-would-revolt-if-Trump-is-impeached/articleshow/65522712.cms,Giuliani: 'The American people would revolt' if Trump is impeached,en
1979240,2018-08-24 00:04:00,w3-coffscoastadvocate-au,https://www.coffscoastadvocate.com.au/news/peter-patter-lets-make-australia-great-again/3501194/,Peter Patter: 'Let's make Australia great again!',en
1979241,2018-08-24 00:04:00,w3-freep,https://eu.hometownlife.com/story/news/local/westland/2018/08/23/mourners-remember-fallen-wayne-county-sheriffs-sergeant/1069589002/,Mourners remember fallen Wayne County Sheriff&apos;s sergeant: &apos;He raised the bar so high&apos;,en
1979242,2018-08-24 00:04:00,w3-islandpacket,https://www.islandpacket.com/news/local/crime/article217229560.html,Coroner releases cause of death of Hilton Head woman killed by alligator in Sea Pines,en
1979243,2018-08-24 00:04:00,w3-lacombeexpress,https://www.lacombeexpress.com/news/maxime-bernier-tears-strip-off-conservatives-scheer-as-he-quits-federal-party/,"Maxime Bernier tears strip off Conservatives, Scheer as he quits federal party",en
1979244,2018-08-24 00:04:00,w3-macon,https://www.macon.com/news/business/article217216150.html,Anger over Ed Dept mulling federal money for guns in schools,en
1979245,2018-08-24 00:04:00,w3-mailonline-ie,http://www.dailymail.co.uk/wires/ap/article-6092353/Govt-acts-stop-high-tax-states-skirting-10K-cap.html?ns_mchannel=rss&ito=1490&ns_campaign=1490,Govt acts to stop high-tax states from skirting $10K cap,en
